subhalo_id,subhalo_flag,logmass,logmass0,logmass1,logmass4,SubhaloCM_x,SubhaloCM_y,SubhaloCM_z,SubhaloVel_x,SubhaloVel_y,SubhaloVel_z,SubhaloHalfmassRad,MassInMaxRad,SubhaloVmax,SubhaloVmaxRad
424291,1,10.69232,9.629576,10.622913,9.477364999999999,1637.697144,19294.90625,6739.460937999999,-235.69941699999998,219.48214700000003,222.11535600000002,8.26543,10.243366,96.344086,5.714216
425719,1,12.487934,11.313808,12.439305000000001,11.077435000000001,24789.208984,19446.564453,3556.3486329999996,-24.761904,-161.074448,147.985474,83.652557,10.354486999999999,274.151581,0.911457
427211,1,12.474468,11.385655999999999,12.414761,11.144906,32521.53125,6100.85498,29578.285156,56.362156000000006,69.17791,7.670616000000001,83.31044,10.464792999999998,333.34726,0.794747
427212,1,10.885187,9.851351,10.834247999999999,9.143171,32215.451172000005,6079.638184,29647.523438,15.563049,105.698982,124.53704099999999,14.102297,10.453013,91.690025,10.223649
427213,1,10.587113,9.641967999999999,10.460537,9.730137,32595.71875,6132.824707,29643.238281,53.934132,102.964218,-72.816338,5.182419,10.120774,108.28312700000001,3.411117
428177,1,12.372767999999999,10.807634,12.341315,11.001695,25688.484375,32855.835938,15384.697266,6.873188000000001,-20.327939999999998,-109.41101100000002,80.31958,10.505301,285.930908,1.1857959999999999
428178,1,11.746395,10.647849,11.694258,10.269403,26049.939453,32957.367188,14933.320312,-48.218605,37.748267999999996,26.460971999999998,41.823890999999996,10.534021000000001,165.69168100000002,3.7727269999999997
428179,1,11.703738000000001,10.4984,11.650185,10.432148,25698.076172,32473.388672000005,15579.428711000002,39.710945,155.983215,-115.33383899999998,28.124544,9.922511,192.436478,0.684179
429471,1,12.478723,10.731164,12.452351,11.091073,16317.791991999999,3588.8576659999994,31908.966797000005,129.425491,221.613998,-38.678371000000006,83.528343,10.552377,321.95813,1.042338
429472,1,11.530106,10.336834,11.47812,10.217117,16229.004883000001,3968.998047,32166.078125,274.15094,146.963425,-94.377708,30.714233,10.771297,152.10600300000002,7.73097
429474,1,10.680867,9.620942,10.636566,8.674892999999999,16187.132812,3266.453857,31951.685547000005,307.414307,383.670319,-165.427948,17.660393,10.180660000000001,67.085953,10.200909
430864,1,12.352667,11.172028,12.298131,11.06842,22025.960938,9593.950195,20836.884766,40.256081,19.40806,-5.1004059999999996,78.102623,10.253046000000001,270.784027,0.7396739999999999
430865,1,11.648772,10.704349,11.581315,10.12829,21895.939453,9974.240234,20754.294922,59.199654,-121.26053600000002,55.730961,44.041503999999996,11.065327,137.91812099999999,18.506147
430866,1,11.045182,10.060205,10.968005999999999,9.816555000000001,21943.177734,9942.705078,20732.625,-39.238506,-117.591003,-8.733744,11.877253999999999,10.51132,121.39913200000001,6.669982000000001
430867,1,10.827633,9.820566,10.778464,8.762263,22033.246094,9638.767578,21017.4375,-1.42805,237.047623,-23.250702,16.863092,10.300492,79.429497,9.588874
432106,1,12.423036,11.264481,12.364866000000001,11.170394,7907.532715,8598.402344,2223.672852,223.775681,96.27018000000001,18.046078,88.44252,10.337591,336.030151,0.583534
432107,1,10.920478,9.971746000000001,10.807186999999999,9.988258,7856.344727,8700.162109,2329.764404,295.06298799999996,182.45294199999998,70.90793599999999,9.256143,10.51609,117.527351,7.195277000000001
432108,1,11.000149,9.940767,10.932931,9.748832,8072.842773,8663.6875,2152.4213870000003,199.061554,-58.446456999999995,-55.022372999999995,12.529477,10.54744,111.24945100000001,8.631368
432109,1,10.997085,9.674277,10.960030999999999,9.529769,8134.558594,8492.169922,2329.352295,93.28208199999999,112.763306,33.594685,14.854393,10.286062,105.04908,5.30295
433289,1,12.477541,11.207851,12.424787,11.259915,5704.384277,28587.839844,22655.242188,89.456841,-307.054169,-98.88826,76.34805300000001,10.335385,324.554626,0.622359
